arch,init,train_cond,eval_cond,attacker_type,eval_split,best_epoch,best_val_auc,macro_auc,bal_acc,top1_acc,male_macro_auc,female_macro_auc,male_n,female_n,male_bal_acc,female_bal_acc,auc_NoFind,auc_Infilt,auc_Atelec,auc_Effus,auc_Nodule,auc_PneuTx,auc_Mass,auc_Consol,auc_PlThck,auc_CardMeg,auc_Emphy,male_auc_NoFind,male_auc_Infilt,male_auc_Atelec,male_auc_Effus,male_auc_Nodule,male_auc_PneuTx,male_auc_Mass,male_auc_Consol,male_auc_PlThck,male_auc_CardMeg,male_auc_Emphy,female_auc_NoFind,female_auc_Infilt,female_auc_Atelec,female_auc_Effus,female_auc_Nodule,female_auc_PneuTx,female_auc_Mass,female_auc_Consol,female_auc_PlThck,female_auc_CardMeg,female_auc_Emphy
resnet18,pretrained,gs50,raw,blind,test,,,0.5362913157430054,0.10067510961140873,0.20600222304557245,0.5269915623083847,0.5438465890614477,1434,1265,0.10616076008638455,0.09481914025061235,0.573026973026973,0.4976002176443792,0.594250866942188,0.6055183696163551,0.49937684169846874,0.5744413497246766,0.508846445068706,0.48450545540796963,0.5349549947539898,0.5136950291404061,0.5129879301489471,0.5818652811227069,0.5253270766996256,0.5536945396100326,0.6049798480622209,0.4882203576948554,0.5128833808844508,0.5411292654713707,0.5278297736181106,0.4987511842218586,0.4770399643771569,0.48518651362984216,0.5743545596699604,0.4632398843930636,0.6508707239604249,0.616206008583691,0.513344612617556,0.5766288509575354,0.46792543899972416,0.43638590859170395,0.5848224257315167,0.5192065338568175,0.5793275323139309
densenet121,pretrained,gs50,gs50,adaptive,val,100,0.6583032376967229,0.6583032376967229,0.21740230765744586,0.21471025260029716,0.6705144426737053,0.634053451010611,758,588,0.2088549553635284,0.21700761244256722,0.6461373773416592,0.6244845886915698,0.6830553464601243,0.7349367461017946,0.6096312989507906,0.6935984516505989,0.6552658999691263,0.5715552178318135,0.5607585139318885,0.8448632346937432,0.6170489390408439,0.6419579812478295,0.6692648005148005,0.6832983193277311,0.7015348803375282,0.6532565060908084,0.7332439678284182,0.6561619718309859,0.591966966966967,0.5436475004939735,0.8557166876839009,0.6456092870878142,0.663955134292523,0.5655459262825657,0.6869633838383838,0.7821959323766751,0.5206404320987654,0.601015531660693,0.6538543215119984,0.5423900462962964,0.5917121450374618,0.816980616980617,0.5493344907407408
densenet121,pretrained,gs50,gs50,adaptive,test,100,0.6583032376967229,0.6768756165444805,0.20888817174478075,0.2152649129307151,0.6756908835581856,0.6715896056252575,1434,1265,0.187643334382495,0.21568130441826466,0.6319974143503554,0.6495944475375817,0.7203838297468054,0.7560857819026845,0.641635669774407,0.6789601741580227,0.6122259707791772,0.6892018500948767,0.6109393119443371,0.762497675820195,0.6921096558808424,0.6625189545981625,0.6653259594436065,0.7177254078662529,0.7571887293736332,0.6247571207772136,0.6377496433666191,0.600816946211683,0.7093672506199504,0.6077318921712169,0.770831014137816,0.6785868005738881,0.6123573543600493,0.6319508670520231,0.7270758034877637,0.7705836909871244,0.6607983904156569,0.6653569941715237,0.6132435414176703,0.6443777984286558,0.6260702851611943,0.7500242353739518,0.6856467010222185
densenet121,pretrained,gs50,raw,blind,test,,,0.5702393925969035,0.10430094648763974,0.1333827343460541,0.5773251281155442,0.557968783339074,1434,1265,0.10469067957691362,0.10438539898055584,0.5722649899120488,0.5504276965126285,0.6040318749703102,0.6293874656059764,0.5802038548862374,0.5918651555897042,0.531555083625676,0.5407673149905123,0.5091149428460986,0.5803493001814464,0.5826656394453005,0.5799735378943299,0.5521792078654824,0.5906572385445624,0.6604895505123833,0.60977036873482,0.5415700784593438,0.5298004626951995,0.5583393328533717,0.5226509344587029,0.637982856506735,0.5671628407460545,0.580854709385501,0.5493410404624277,0.624073600817787,0.5983776824034335,0.5422058621793406,0.6067599916736054,0.5347292451962857,0.49961983610712174,0.4889807162534436,0.5309364548494984,0.5817774774013685
resnet18,scratch,gs50,gs50,adaptive,val,41,0.7007090532425088,0.7007090532425088,0.23386722276414273,0.23922734026745915,0.717386081454979,0.6727925886642917,758,588,0.23591953125895956,0.22833183497988346,0.6759401328179204,0.6646713615023474,0.7192662731270553,0.760017652250662,0.6108381360524112,0.7625438212094653,0.7317362611917259,0.5588652482269505,0.6791795665634675,0.90615410954394,0.6385870231816508,0.6606088667669869,0.6919321106821107,0.7182800751879701,0.7339540748284473,0.6448124307862682,0.8316577301161752,0.7531396713615023,0.6398648648648648,0.684252124086149,0.894756200084069,0.637988747240225,0.6948809374496067,0.6278553469213074,0.7113320707070707,0.7899733450177092,0.5428240740740741,0.6913978494623656,0.7071034189849226,0.4295428240740741,0.6717232448432152,0.9082173082173082,0.6258680555555556
resnet18,scratch,gs50,gs50,adaptive,test,41,0.7007090532425088,0.7010013765341774,0.2097807520613989,0.22860318636532048,0.7014155510283073,0.6926547943129608,1434,1265,0.1807048387729205,0.22138248708711217,0.6617774382480265,0.6708198360074911,0.7347424112868748,0.7804110887757867,0.623886124663865,0.7252168971699321,0.6716107295348952,0.6390595351043642,0.6242200011044232,0.8456295802370983,0.7336414997431946,0.693069306930693,0.6829607284509245,0.7330884021024866,0.7706956485068288,0.6259328770147936,0.7043509272467903,0.6548149219201851,0.66247500199984,0.6091206614417363,0.85863575642881,0.7204268292682927,0.6378339488305551,0.656684971098266,0.7321626324948582,0.7986180257510729,0.6195908973127867,0.708992506244796,0.6873218718396618,0.579412013179015,0.6463963963963963,0.8294556735010421,0.7227338007941201
resnet18,scratch,gs50,raw,blind,test,,,0.6041504041980429,0.13903658348325432,0.1463505001852538,0.5965187227975222,0.6092633011004,1434,1265,0.13476879122787003,0.13768018805750046,0.5684962096726802,0.6038954547755226,0.5801957151679256,0.659324522760646,0.5810846496948617,0.631759028044564,0.5610783299058679,0.5653818785578747,0.5374468496327792,0.6696458911706814,0.6873459167950693,0.5712990217940713,0.6224501424501424,0.5939755376375095,0.659615998650513,0.5651247516007949,0.6680634807417974,0.5474551764025448,0.49228061755059593,0.5384118508311085,0.6661749972169654,0.6368543758967002,0.5668978940013973,0.5828699421965318,0.5446253635622407,0.6730128755364807,0.5810508025058302,0.6434741881765195,0.5724119702123748,0.6266368167610037,0.5497356860993226,0.6569482817119869,0.7042324913407112
densenet121,scratch,gs50,gs50,adaptive,val,25,0.7000421934697699,0.7000421934697699,0.24017748413831114,0.21768202080237742,0.7126251126802721,0.6757298939215567,758,588,0.25188164945771147,0.2197011207286246,0.6673842799088116,0.6507731169626454,0.7121795887643121,0.7672918505442777,0.6172910201467907,0.7755988898626935,0.6865448440876813,0.6257598784194528,0.6769865841073271,0.8915359593325695,0.6291181160309088,0.6654994791063782,0.6881354568854569,0.7066010614772225,0.7526005673965229,0.6582398947951275,0.8142314566577301,0.7119131455399061,0.6673423423423424,0.6712902588421261,0.8908154686843212,0.6122071077558578,0.6664277651359052,0.6007061466859253,0.7150252525252525,0.7837660203746303,0.5311342592592593,0.6934289127837515,0.6672329581652156,0.5570023148148149,0.6978077883637036,0.8872508872508873,0.6332465277777778
densenet121,scratch,gs50,gs50,adaptive,test,25,0.7000421934697699,0.6998618495692636,0.2187656733916108,0.2237865876250463,0.7029295801666586,0.6858071934893223,1434,1265,0.2150935603956539,0.20949343573912182,0.6702596423184658,0.637992230601812,0.7410016151251722,0.7819026845159175,0.634536173775824,0.7191781918299399,0.6351026223470747,0.670176114800759,0.6524759787950742,0.8325885272073297,0.72326656394453,0.6911180982963161,0.6524551701022289,0.7420647279802209,0.7750995547897752,0.609958048134246,0.7123974679029956,0.6271544245228458,0.6903127749780017,0.6524954784256308,0.8596933095847712,0.7194763271162122,0.6520714808530459,0.621335260115607,0.736531464106215,0.7950901287553649,0.6621092261496486,0.6810210241465444,0.6250229842787534,0.612866435752302,0.6578996351723625,0.8024574669187146,0.6974740221339867
densenet121,scratch,gs50,raw,blind,test,,,0.657803732816813,0.17602119191703272,0.1711745090774361,0.6618337327508591,0.6437757242947574,1434,1265,0.17345842031373668,0.16672157145216254,0.6564298446651388,0.5812895429468037,0.6957959241841243,0.7424315327260026,0.6130975959293432,0.5929536432321679,0.6302470463312679,0.637944734345351,0.6129686896018554,0.7702043354769217,0.7024781715459681,0.6686327416525435,0.594599184403106,0.709227793734836,0.7246986246076549,0.5980072863766837,0.5934156562054208,0.6500795257374204,0.6225261979041676,0.6207260356558436,0.8163892908827786,0.6818687230989957,0.6469458029743488,0.5669595375722543,0.681464714687306,0.7741030042918454,0.6253372353559834,0.5533279558701083,0.5824158775397628,0.6118949058038354,0.609504132231405,0.719560370316514,0.7100194305989693
