fold,arch,init,train_condition,attacker_type,eval_split,eval_condition,seed,level,rank1,rank5,top1_sim,margin,p_top1,auc,tar_at_far_1pct,mean_sim_same,mean_sim_diff,n_pos_pairs,n_neg_pairs
3,densenet121,pretrained,gs0,blind,test,raw,1337,slice_level,0.9992843511450382,1.0,0.996890937141676,0.0008043436091819793,0.00035098943771333,0.8690620777996487,0.37140795914667313,0.9842282964328992,0.9693903321149325,264752,838400
3,densenet121,pretrained,gs0,blind,test,raw,1337,subject_level,1.0,1.0,0.999690194060837,0.004828477251356927,0.01786929617325465,1.0,1.0,0.999690194060837,0.9845678613847478,69,4692
4,densenet121,pretrained,gs0,adaptive,train,gs0,1337,slice_level,0.958374628344896,0.9922365378262306,0.9153004996367796,0.008165308989665672,0.0016823559158560422,0.9145546574532126,0.3216078648090515,0.8549841486597376,0.6805231295595315,171905,1210800
4,densenet121,pretrained,gs0,adaptive,train,gs0,1337,subject_level,1.0,1.0,0.9937252144555788,0.024609542107796884,0.024444420175912144,0.9999986228126133,1.0,0.9937252144555788,0.7903038643786183,222,49062
4,densenet121,pretrained,gs0,adaptive,test,gs0,1337,slice_level,0.9865858935525746,0.9974037213327563,0.9121534491271387,0.007213136892925347,0.0022809771221169975,0.8858878243643211,0.31287291435921255,0.8336481567133396,0.7064891825242702,335868,924400
4,densenet121,pretrained,gs0,adaptive,test,gs0,1337,subject_level,1.0,1.0,0.9969613984011222,0.0343092351719953,0.07503083164709201,1.0,1.0,0.9969613984011222,0.8416471917306065,69,4692
4,densenet121,pretrained,gs0,blind,train,raw,1337,slice_level,0.9945490584737364,0.9985133795837463,0.9940412971971057,0.00206023414299596,0.00029623094391048377,0.8741351549563329,0.34928012565079547,0.9761440697974523,0.9534510174958293,171905,1210800
4,densenet121,pretrained,gs0,blind,train,raw,1337,subject_level,1.0,1.0,0.9990684650502764,0.006602485706140329,0.0062447342295870855,0.9999990818750756,1.0,0.9990684650502764,0.9757054295040198,222,49062
4,densenet121,pretrained,gs0,blind,test,raw,1337,slice_level,0.9997836434443964,1.0,0.9956409785975526,0.0011193646026967873,0.0003821638738494713,0.8747367539498153,0.3280872247430538,0.9767394057297821,0.9546620011574027,335868,924400
4,densenet121,pretrained,gs0,blind,test,raw,1337,subject_level,1.0,1.0,0.9996323585510254,0.007849585318910902,0.019955653481293415,1.0,1.0,0.9996323585510254,0.9764598011843485,69,4692
0,densenet121,pretrained,gs10,adaptive,train,gs10,1337,slice_level,0.8402445068561044,0.9633239715843384,0.8414535485731163,0.009442028468765544,0.0013037405961151447,0.8885176265698517,0.33618115555353717,0.7720845011819628,0.688139733588343,176158,1210600
0,densenet121,pretrained,gs10,adaptive,train,gs10,1337,subject_level,1.0,1.0,0.9886949097408968,0.024480044032653532,0.01818309425127722,0.9999964634779648,1.0,0.9886949097408968,0.8777668299190992,221,48620
0,densenet121,pretrained,gs10,adaptive,test,gs10,1337,slice_level,0.959083833666889,0.9971091839003781,0.8481826672480852,0.007948909424558491,0.0015520628605183726,0.8860764988326607,0.3359129834389735,0.7762161407086405,0.7023430390998288,305597,899400
0,densenet121,pretrained,gs10,adaptive,test,gs10,1337,subject_level,1.0,1.0,0.9951631801468985,0.029280256373541695,0.046716807676213126,0.9999999999999999,1.0,0.9951631801468985,0.9026408789937788,70,4830
0,densenet121,pretrained,gs10,blind,train,raw,1337,slice_level,0.9983479266479431,0.9993391706591773,0.9988600312826477,0.0005296254264368965,0.00022174896746683068,0.8917173187703492,0.4762542717333303,0.9921270874381832,0.9790531207222043,176158,1210600
0,densenet121,pretrained,gs10,blind,train,raw,1337,subject_level,1.0,1.0,0.9996921533373146,0.002836258163279538,0.005454792598961975,0.9999827827216701,1.0,0.9996921533373146,0.9863418668876308,221,48620
0,densenet121,pretrained,gs10,blind,test,raw,1337,slice_level,1.0,1.0,0.999201815274654,0.0002630627338213472,0.0002927319018226879,0.906505925995783,0.5085913801509832,0.9925845784028106,0.9794413692061971,305597,899400
0,densenet121,pretrained,gs10,blind,test,raw,1337,subject_level,1.0,1.0,0.9998870968818665,0.0032797208854130335,0.017220983494605338,1.0,1.0,0.9998870968818665,0.9863877458478599,70,4830
1,densenet121,pretrained,gs10,adaptive,train,gs10,1337,slice_level,0.7686209744013213,0.9374071015689512,0.8611254328346567,0.008071603566334329,0.0013915314342754315,0.8890861417825979,0.20511856781871066,0.7960184448718907,0.676305151178953,172939,1211000
1,densenet121,pretrained,gs10,adaptive,train,gs10,1337,subject_level,1.0,1.0,0.9904661755756016,0.020723206155440387,0.02045074185752626,0.9999971149425503,1.0,0.9904661755756016,0.8378754353790506,221,48620
1,densenet121,pretrained,gs10,adaptive,test,gs10,1337,slice_level,0.9129550079131811,0.9853040922450825,0.8611586016549962,0.007688835037528134,0.001923201312783709,0.8643417590489679,0.22897718901107733,0.7795981273007373,0.6818759703755433,298628,884600
1,densenet121,pretrained,gs10,adaptive,test,gs10,1337,subject_level,1.0,1.0,0.9955105117389134,0.029648209469658987,0.05658204842891012,1.0,1.0,0.9955105117389134,0.8699231584003007,70,4830
1,densenet121,pretrained,gs10,blind,train,raw,1337,slice_level,0.998018166804294,0.999009083402147,0.9989800558318588,0.0004801445712145452,0.00021573230313453638,0.895132146054048,0.46466094981467454,0.9931495029346077,0.9811362055277746,172939,1211000
1,densenet121,pretrained,gs10,blind,train,raw,1337,subject_level,1.0,1.0,0.9997419048758114,0.0023165059305424065,0.00536390239945971,0.999969195031745,1.0,0.9997419048758114,0.9875552140442936,221,48620
1,densenet121,pretrained,gs10,blind,test,raw,1337,slice_level,1.0,1.0,0.9991660922354711,0.00027694038856414927,0.00029389952226151764,0.8743463151803469,0.43551843765487497,0.9918364225464432,0.9804547498520213,298628,884600
1,densenet121,pretrained,gs10,blind,test,raw,1337,subject_level,1.0,1.0,0.9998742171696254,0.003214071478162493,0.016877341004354614,0.9999999999999999,1.0,0.9998742171696254,0.9878588701257054,70,4830
2,densenet121,pretrained,gs10,adaptive,train,gs10,1337,slice_level,0.8123864574731626,0.9492981007431874,0.8297432292895707,0.010194120989861713,0.001346817679699775,0.8551508893766369,0.3062332660602451,0.7502618420050086,0.675106296878305,172927,1211000
2,densenet121,pretrained,gs10,adaptive,train,gs10,1337,subject_level,0.9954954954954955,1.0,0.9873248349438917,0.025101857410894858,0.016908745642180915,0.9999903596882929,1.0,0.987312569543048,0.8859990074490126,222,49062
2,densenet121,pretrained,gs10,adaptive,test,gs10,1337,slice_level,0.9327375352775165,0.9936500470366886,0.8376073806160257,0.009070541397760415,0.0019399923495322978,0.8604192569988646,0.2928724031236187,0.754810829952862,0.680495878762845,271480,850400
2,densenet121,pretrained,gs10,adaptive,test,gs10,1337,subject_level,1.0,1.0,0.9945427213889965,0.03189758891644685,0.05070839546944784,1.0,1.0,0.9945427213889965,0.8980673300412,69,4692
2,densenet121,pretrained,gs10,blind,train,raw,1337,slice_level,0.9960363336085879,0.9986787778695293,0.9979951247412936,0.0008857268916979789,0.00023944964789567033,0.8976304649694501,0.47480150583772346,0.9887826003112407,0.9726894507301829,172927,1211000
2,densenet121,pretrained,gs10,blind,train,raw,1337,subject_level,0.9954954954954955,1.0,0.9995609913860355,0.0038779794095872757,0.005678724675850423,0.9999623568780962,1.0,0.9995510696290849,0.9829865175411989,222,49062
2,densenet121,pretrained,gs10,blind,test,raw,1337,slice_level,1.0,1.0,0.99872360980578,0.00044329660687935545,0.0003309803660988575,0.9013347693567546,0.4954692795049359,0.9898788310026444,0.9742938043417537,271480,850400
2,densenet121,pretrained,gs10,blind,test,raw,1337,subject_level,1.0,1.0,0.9998242086258488,0.004415950049524722,0.018011323810703514,1.0,1.0,0.9998242086258488,0.9841314152149898,69,4692
3,densenet121,pretrained,gs10,adaptive,train,gs10,1337,slice_level,0.7960700132100397,0.946003963011889,0.8549400051585749,0.008906712600545492,0.001551272717038172,0.8895015820636671,0.3001343954224804,0.7830569969644355,0.6758929923608102,173369,1211200
3,densenet121,pretrained,gs10,adaptive,train,gs10,1337,subject_level,1.0,1.0,0.9896950423717499,0.022832759328790614,0.021053961360709625,0.9999941240004833,1.0,0.9896950423717499,0.8533059453297019,222,49062
3,densenet121,pretrained,gs10,adaptive,test,gs10,1337,slice_level,0.9358301526717557,0.9930820610687023,0.8536443786539194,0.008732266198019034,0.0019159081928189381,0.856808233441882,0.2860450534840152,0.7713448004176294,0.6947179693920282,264752,838400
3,densenet121,pretrained,gs10,adaptive,test,gs10,1337,subject_level,1.0,1.0,0.994805659936822,0.02932465940281965,0.05137144531244817,1.0,1.0,0.994805659936822,0.8946291009712097,69,4692
3,densenet121,pretrained,gs10,blind,train,raw,1337,slice_level,0.9968626155878467,0.9995046235138706,0.9978653075298985,0.00095388794236643,0.00024656424224017974,0.8842079081740823,0.42448188545818455,0.9877748929151038,0.9705221143223178,173369,1211200
3,densenet121,pretrained,gs10,blind,train,raw,1337,subject_level,1.0,1.0,0.9995860650732711,0.004181299929146294,0.00577648839837796,0.9999990818750755,1.0,0.9995860650732711,0.9818100172739762,222,49062
3,densenet121,pretrained,gs10,blind,test,raw,1337,slice_level,0.9992843511450382,0.9995229007633588,0.9983621955714153,0.000545507368013149,0.00035377295217023564,0.8937290177372929,0.44958678310267725,0.9880790206223624,0.9701274007361894,264752,838400
3,densenet121,pretrained,gs10,blind,test,raw,1337,subject_level,1.0,1.0,0.9997354374415632,0.005457451378089794,0.018654319822140362,0.9999876447113187,1.0,0.9997354374415632,0.9814415707714215,69,4692
4,densenet121,pretrained,gs10,adaptive,train,gs10,1337,slice_level,0.8130161876445325,0.9527585067723819,0.8398026936039265,0.00914584005237374,0.00137411813542001,0.8845333294571441,0.32404525755504493,0.7680334584736075,0.6808542222776526,171905,1210800
4,densenet121,pretrained,gs10,adaptive,train,gs10,1337,subject_level,1.0,1.0,0.988592185952642,0.024130707657015003,0.01857286769275864,0.999999173687568,1.0,0.988592185952642,0.8759707176633337,222,49062
4,densenet121,pretrained,gs10,adaptive,test,gs10,1337,slice_level,0.9355257464301169,0.9935093033318909,0.8416092469546765,0.008258389335646354,0.0016941044549679376,0.8513985131723026,0.2870532471089833,0.7582324213949302,0.6864785725456368,335868,924400
4,densenet121,pretrained,gs10,adaptive,test,gs10,1337,subject_level,1.0,1.0,0.9952226825382399,0.030215957890386166,0.05095812284212182,1.0,1.0,0.9952226825382399,0.8959210713704427,69,4692
4,densenet121,pretrained,gs10,blind,train,raw,1337,slice_level,0.9978526593987447,0.9993392798149984,0.9982077847288747,0.0008086036505540055,0.00022851416199047873,0.8860868940080465,0.42717780169279546,0.9897693487009221,0.9763584498206518,171905,1210800
4,densenet121,pretrained,gs10,blind,train,raw,1337,subject_level,1.0,1.0,0.9996345598955412,0.0033473546977515695,0.005461808159813151,0.9999992655000605,1.0,0.9996345598955412,0.9858986561323931,222,49062
4,densenet121,pretrained,gs10,blind,test,raw,1337,slice_level,1.0,1.0,0.9987584995609607,0.00041078927969839704,0.0002969728370030076,0.8920131825603304,0.42754296330701347,0.9899950340206175,0.9761023735659611,335868,924400
4,densenet121,pretrained,gs10,blind,test,raw,1337,subject_level,1.0,1.0,0.9998467339985613,0.004225497660429582,0.01767075323648211,1.0,1.0,0.9998467339985613,0.9855492508192908,69,4692
0,densenet121,pretrained,gs20,adaptive,train,gs20,1337,slice_level,0.6175450189988435,0.8651908144721626,0.8307235051083718,0.007624614343118534,0.0008979740505397622,0.8221286162587995,0.2200808365217589,0.7616684414368278,0.7057485139923866,176158,1210600
0,densenet121,pretrained,gs20,adaptive,train,gs20,1337,subject_level,1.0,1.0,0.9879760440118712,0.018130064280324393,0.012174829579384079,0.9999532806825859,1.0,0.9879760440118712,0.9137227129183498,221,48620
0,densenet121,pretrained,gs20,adaptive,test,gs20,1337,slice_level,0.8352234823215477,0.980653769179453,0.8377992926715929,0.007438516216541042,0.001190400520373883,0.8333799805122534,0.24176938909740606,0.768304671113338,0.7128808791030505,305597,899400
0,densenet121,pretrained,gs20,adaptive,test,gs20,1337,subject_level,1.0,1.0,0.9951489610331399,0.02228191154343741,0.03645991504724536,1.0,1.0,0.9951489610331399,0.9241876229242755,70,4830
0,densenet121,pretrained,gs20,blind,train,raw,1337,slice_level,0.9935569139269783,0.9971914753015034,0.9993064929468857,0.0003475154822825519,0.0002016398325108894,0.8722754498956016,0.41251036001771135,0.9947648137822396,0.9863368458654218,176158,1210600
0,densenet121,pretrained,gs20,blind,train,raw,1337,subject_level,0.995475113122172,1.0,0.9997938474918383,0.0015055405068721166,0.005105205847380253,0.9998472780878955,0.9909502262443439,0.9997928582165576,0.9911969756856959,221,48620
