fold,arch,init,train_condition,attacker_type,eval_split,eval_condition,seed,k_gallery,k_probe,level,rank1,rank5,top1_sim,margin,p_top1,auc,tar_at_far_1pct,mean_sim_same,mean_sim_diff,n_pos_pairs,n_neg_pairs
3,resnet18,scratch,gs20,adaptive,test,gs20,1337,3,1,slice_level,0.5507246376811594,0.7536231884057971,0.9882550818332727,0.001885577388431715,0.011821337874330904,0.8052119652734019,0.26570048309178745,0.9630750996479089,0.8864115142109601,207,13800
3,resnet18,scratch,gs20,adaptive,test,gs20,1337,3,1,subject_level,0.3188405797101449,0.5797101449275363,0.9891152528748997,0.002196457938871522,0.033404838320785675,0.8439001939780323,0.3188405797101449,0.975563993488533,0.8982244944874791,69,4692
3,resnet18,scratch,gs20,blind,train,raw,1337,3,1,slice_level,0.46396396396396394,0.5675675675675675,0.9996378523809416,9.484199790267257e-05,0.0016730249437780396,0.7438928117306496,0.21171171171171171,0.9971004839953002,0.9916877245392886,666,44400
3,resnet18,scratch,gs20,blind,train,raw,1337,3,1,subject_level,0.27927927927927926,0.3963963963963964,0.9996342860363625,8.392092343923207e-05,0.004959495373170923,0.7819308699674359,0.26126126126126126,0.9981579571156889,0.9926987152092126,222,49062
3,resnet18,scratch,gs20,blind,test,raw,1337,3,1,slice_level,0.463768115942029,0.6086956521739131,0.9996345855187678,0.00010818156643190245,0.005280145416981069,0.7610459987397605,0.27053140096618356,0.9979474345842997,0.9931143842313601,207,13800
3,resnet18,scratch,gs20,blind,test,raw,1337,3,1,subject_level,0.3333333333333333,0.463768115942029,0.9996053222296895,0.00014614626981210017,0.01567940471990817,0.7937531660427246,0.3333333333333333,0.9987346763196199,0.9938906871754191,69,4692
4,resnet18,scratch,gs20,adaptive,train,gs20,1337,3,1,slice_level,0.35135135135135137,0.5045045045045045,0.9932127321088636,0.0005887620620899372,0.003509382433090191,0.8084239983226471,0.0960960960960961,0.9856968862158401,0.8270573237209439,666,44400
4,resnet18,scratch,gs20,adaptive,train,gs20,1337,3,1,subject_level,0.2882882882882883,0.44594594594594594,0.9942338316290228,0.0005120726319046708,0.010065166227234242,0.8458054636512506,0.13963963963963963,0.9904479714664253,0.8311320073238369,222,49062
4,resnet18,scratch,gs20,adaptive,test,gs20,1337,3,1,slice_level,0.42028985507246375,0.6376811594202898,0.9905452123586682,0.000918839288794476,0.011350221533760212,0.744030665826507,0.1497584541062802,0.9665718749525466,0.9055245440312918,207,13800
4,resnet18,scratch,gs20,adaptive,test,gs20,1337,3,1,subject_level,0.34782608695652173,0.4927536231884058,0.9918262509332187,0.0011909802754720051,0.03189193400675836,0.8031678960178906,0.14492753623188406,0.9787650738937267,0.9169045164990608,69,4692
4,resnet18,scratch,gs20,blind,train,raw,1337,3,1,slice_level,0.45495495495495497,0.5675675675675675,0.9984499361063983,0.0003259729694675755,0.0017334405486975368,0.7378341517192869,0.24924924924924924,0.9940831992361281,0.9878362479121299,666,44400
4,resnet18,scratch,gs20,blind,train,raw,1337,3,1,subject_level,0.30180180180180183,0.4369369369369369,0.9985233249965014,0.00032067701623246476,0.005077391571306565,0.7850902296450787,0.35135135135135137,0.996117110993411,0.98993169386545,222,49062
4,resnet18,scratch,gs20,blind,test,raw,1337,3,1,slice_level,0.5362318840579711,0.6666666666666666,0.9983635752097421,0.0004759586375692616,0.005631835274128378,0.7549298116642161,0.28502415458937197,0.9944255222444949,0.9867351164161295,207,13800
4,resnet18,scratch,gs20,blind,test,raw,1337,3,1,subject_level,0.391304347826087,0.6086956521739131,0.9983453405076179,0.00053465711897698,0.016469714123809685,0.8172019595487849,0.4057971014492754,0.9965521459994109,0.9888724974735313,69,4692
0,resnet18,scratch,gs30,adaptive,train,gs30,1337,3,1,slice_level,0.14479638009049775,0.38461538461538464,0.9806191559830403,0.0005922802972577816,0.0018506440332968512,0.8383454304102428,0.13122171945701358,0.9758377370071987,0.9655467186982815,663,44200
