arch,init,train_condition,attacker_type,eval_condition,eval_split,k_gallery,k_probe,n_subjects,level,rank1,rank5,top1_sim,margin,p_top1,auc,tar_at_far_1pct,mean_sim_same,mean_sim_diff
densenet121,pretrained,gs30,adaptive,gs30,train,1,1,3843,slice_level,0.017434296122820714,0.04918032786885246,0.916014742935011,0.005018346792951153,0.002172426465624178,0.792210754856453,0.1444184231069477,0.8214452631796768,0.7403992702236344
densenet121,pretrained,gs30,adaptive,gs30,train,1,1,3843,subject_level,0.017434296122820714,0.04918032786885246,0.9160147989878827,0.0050183488712812075,0.0021724266495773505,0.7919015305326843,0.14467863648191517,0.8214453123616514,0.7405204506759187
densenet121,pretrained,gs30,blind,raw,train,1,1,3843,slice_level,0.02966432474629196,0.05802758261774655,0.990123148576189,0.0010970728862046762,0.000519165753315666,0.6567816289424984,0.10226385636221702,0.9584322937323406,0.9408536126425249
densenet121,pretrained,gs30,blind,raw,train,1,1,3843,subject_level,0.02966432474629196,0.05802758261774655,0.9901232127252421,0.0010970728086550472,0.0005191657918632843,0.657052917094854,0.10226385636221702,0.9584323548259382,0.9408479895729464
densenet121,pretrained,gs20,adaptive,gs20,train,1,1,3843,slice_level,0.02810304449648712,0.07233931824095759,0.8884857605591188,0.007456208637162108,0.0038855727580832783,0.8095086910116153,0.18214936247723132,0.7695345436645739,0.663241641329945
densenet121,pretrained,gs20,adaptive,gs20,train,1,1,3843,subject_level,0.02810304449648712,0.07233931824095759,0.8884858145336605,0.007456207318818417,0.0038855733560030346,0.8095296650357119,0.18162893572729638,0.7695345908922979,0.6631630394235273
densenet121,pretrained,gs20,blind,raw,train,1,1,3843,slice_level,0.04918032786885246,0.08014571948998178,0.967919374982609,0.0029069096850381057,0.0012057132848664234,0.6433712294875449,0.04709862086911267,0.8619733976412031,0.8172763049239964
densenet121,pretrained,gs20,blind,raw,train,1,1,3843,subject_level,0.04918032786885246,0.08014571948998178,0.9679194423577266,0.002906908180575305,0.0012057134151861513,0.6437165782056301,0.04787926099401509,0.8619734562377026,0.8171959226238767
densenet121,pretrained,gs10,adaptive,gs10,train,1,1,3843,slice_level,0.04631798074421025,0.10668748373666406,0.8828973085533478,0.008584045879920883,0.004372363059365632,0.8318992844233756,0.2235232890970596,0.766775005199684,0.6450164756964434
densenet121,pretrained,gs10,adaptive,gs10,train,1,1,3843,subject_level,0.04631798074421025,0.10668748373666406,0.8828973614732145,0.008584046391748432,0.0043723636827616525,0.8316062592455138,0.2235232890970596,0.766775050558462,0.6451426857466068
densenet121,pretrained,gs10,blind,raw,train,1,1,3843,slice_level,0.056726515742909184,0.09888108248763987,0.9635361652339526,0.003180048706442808,0.0017033514409560363,0.6704917435237306,0.050481394743689824,0.8213101779533617,0.7167582488624946
densenet121,pretrained,gs10,blind,raw,train,1,1,3843,subject_level,0.056726515742909184,0.09888108248763987,0.9635362250092065,0.0031800483807343663,0.001703351591314467,0.6707566842437654,0.0507416081186573,0.8213102292214214,0.7166446182609628
densenet121,pretrained,gs0,adaptive,gs0,train,1,1,3843,slice_level,0.12334113973458236,0.21779859484777517,0.8479208122030572,0.010298672176542737,0.004036874890704539,0.8651773896176963,0.33619568045797554,0.7575933639034764,0.6285507334270903
densenet121,pretrained,gs0,adaptive,gs0,train,1,1,3843,subject_level,0.12334113973458236,0.21779859484777517,0.8479208631996931,0.010298671339006743,0.004036875394716541,0.8653333967108298,0.3359354670830081,0.7575934098981614,0.6285051308146933
densenet121,pretrained,gs0,blind,raw,train,1,1,3843,slice_level,0.156128024980484,0.2469424928441322,0.8834796002405619,0.008243703001525108,0.0018189996947299795,0.8436322689367187,0.31355711683580534,0.8231119088539691,0.7355243884589627
densenet121,pretrained,gs0,blind,raw,train,1,1,3843,subject_level,0.156128024980484,0.2469424928441322,0.8834796596901074,0.008243702210518894,0.0018189999718335851,0.8435381121184475,0.31433775696070776,0.8231119643484835,0.7355738682724553
densenet121,scratch,raw,adaptive,raw,train,1,1,3843,slice_level,0.06609419724173822,0.12802498048399688,0.9523379856678399,0.007916681164104492,0.007893668485729297,0.8361189232677952,0.2557897475930263,0.8005734851141321,0.6193462214339549
densenet121,scratch,raw,adaptive,raw,train,1,1,3843,subject_level,0.06609419724173822,0.12802498048399688,0.9523380419533606,0.007916681489812933,0.007893669553187821,0.8360369527368414,0.25709081446786364,0.8005735324659355,0.619394996143321
densenet121,scratch,gs50,adaptive,gs50,train,1,1,3843,slice_level,0.0273224043715847,0.06895654436638043,0.9727004390658732,0.00556491294814186,0.006575662993508261,0.7982462825475777,0.1873536299765808,0.79623709933509,0.6218017587150807
densenet121,scratch,gs50,adaptive,gs50,train,1,1,3843,subject_level,0.0273224043715847,0.06895654436638043,0.9727004923269583,0.005564909985746036,0.006575663481646824,0.7979472275358428,0.1873536299765808,0.796237143453074,0.6220875114475242
densenet121,scratch,gs50,blind,raw,train,1,1,3843,slice_level,0.043195420244600574,0.0947176684881603,0.9746967629780845,0.005276034035286865,0.005309517455347621,0.7620144501707637,0.1912568306010929,0.8031682514706968,0.6641650589376557
densenet121,scratch,gs50,blind,raw,train,1,1,3843,subject_level,0.043195420244600574,0.0947176684881603,0.9746968198219624,0.005276036501365064,0.005309518144569948,0.76220091485687,0.1920374707259953,0.8031682960694884,0.6640590137798371
