model,init,train_condition,eval_condition,attacker_type,fold_id,subject_auc,subject_acc,subject_bacc,sensitivity,specificity,msp_correct_mean,msp_wrong_mean,nll_correct_mean,nll_wrong_mean,nllpct_correct_mean,nllpct_wrong_mean,n_train_subjects,n_val_subjects,n_train_slices,n_val_slices,lr,weight_decay,patience,num_epochs_max,epochs_trained,best_val_auc,best_val_loss,seed,timestamp,ckpt_path
resnet18,pretrained,gs0,gs0,adaptive,2,0.8929292929292929,0.8214285714285714,0.7171717171717171,0.5454545454545454,0.8888888888888888,0.8499655600577547,0.7174158573791545,0.17182927720550314,1.6551974064482882,84.99655600577549,28.25841426208455,222,56,12000,7347,5e-05,0.0001,7,50,8,0.8929292929292929,0.5280536783152613,1337,2026-01-17 09:24:25,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs0/fold_2.pt
resnet18,pretrained,gs0,raw,blind,2,0.7131313131313131,0.19642857142857142,0.5,1.0,0.0,0.8139889013615754,0.738207141690517,0.2086410169188028,1.405379888218922,81.39889013615753,26.179285830948306,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 09:24:30,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs0/fold_2.pt
densenet121,pretrained,gs0,gs0,adaptive,2,0.8848484848484849,0.8571428571428571,0.8424242424242425,0.8181818181818182,0.8666666666666667,0.8202751610681202,0.7043868952633573,0.21978284553240704,1.3902812299654963,82.02751610681202,29.56131047366427,222,56,12000,7347,5e-05,0.0001,7,50,1,0.8848484848484849,0.430192946360029,1337,2026-01-17 09:30:19,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs0/fold_2.pt
densenet121,pretrained,gs0,raw,blind,2,0.6888888888888889,0.8035714285714286,0.5,0.0,1.0,0.9811548424927791,0.9770618107785286,0.01906472155205558,3.8207640014637505,98.11548424927796,2.293818922147141,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 09:30:31,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs0/fold_2.pt
resnet18,pretrained,gs10,gs10,adaptive,2,0.8888888888888888,0.75,0.8444444444444444,1.0,0.6888888888888889,0.801456713494569,0.7263741790876365,0.238363678143141,1.4637605587343525,80.14567134945689,27.362582091236355,222,56,12000,7347,5e-05,0.0001,7,50,1,0.8888888888888888,0.6856874291752947,1337,2026-01-17 09:40:43,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs10/fold_2.pt
resnet18,pretrained,gs10,raw,blind,2,0.6363636363636364,0.32142857142857145,0.5090909090909091,0.8181818181818182,0.2,0.6712094569064704,0.6943172252050221,0.4166895372354274,1.2584257982722309,67.12094569064703,30.568277479497784,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 09:40:47,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs10/fold_2.pt
densenet121,pretrained,gs10,gs10,adaptive,2,0.907070707070707,0.8571428571428571,0.8767676767676768,0.9090909090909091,0.8444444444444444,0.8096325120049827,0.681645550793888,0.2308264264625559,1.2665843807967323,80.96325120049828,31.8354449206112,222,56,12000,7347,5e-05,0.0001,7,50,2,0.907070707070707,0.4580236442130187,1337,2026-01-17 09:47:19,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs10/fold_2.pt
densenet121,pretrained,gs10,raw,blind,2,0.41414141414141414,0.8035714285714286,0.5,0.0,1.0,0.9839239226490656,0.9858162760214743,0.016322051767188556,4.791120488509172,98.39239226490655,1.4183723978525675,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 09:47:32,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs10/fold_2.pt
resnet18,pretrained,gs20,gs20,adaptive,2,0.8808080808080808,0.8392857142857143,0.7626262626262625,0.6363636363636364,0.8888888888888888,0.8420129572521268,0.6896803094832986,0.18435492176131546,1.4422565819552495,84.20129572521272,31.031969051670142,222,56,12000,7347,5e-05,0.0001,7,50,12,0.8808080808080808,0.48900499323318747,1337,2026-01-17 10:00:00,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs20/fold_2.pt
resnet18,pretrained,gs20,raw,blind,2,0.4868686868686869,0.8035714285714286,0.5,0.0,1.0,0.6675570807630016,0.6743638949397721,0.4069729822511858,1.1282891111167241,66.75570807630017,32.563610506022776,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 10:00:04,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs20/fold_2.pt
